Index Label
01_9 B
01_14 C
01_21 B
01_23 B
01_43 B
01_54 B
01_64 B
01_78 B
01_92 B
01_155 B
02_9 B
02_14 B
02_21 B
02_23 B
02_43 B
02_54 B
02_64 B
02_78 B
02_92 C
02_155 B
03_9 B
03_14 B
03_21 B
03_23 B
03_43 B
03_54 B
03_64 C
03_78 B
03_92 B
03_155 B
04_9 B
04_14 C
04_21 A
04_23 A
04_43 C
04_54 B
04_64 B
04_78 A
04_92 B
04_155 A
05_9 B
05_14 B
05_21 B
05_23 B
05_43 C
05_54 B
05_64 B
05_78 B
05_92 B
05_155 B
06_9 A
06_14 A
06_21 A
06_23 A
06_43 A
06_54 A
06_64 A
06_78 A
06_92 A
06_155 A
07_9 B
07_14 B
07_21 B
07_23 B
07_43 B
07_54 B
07_64 B
07_78 B
07_92 B
07_155 B
08_9 B
08_14 B
08_21 B
08_23 B
08_43 B
08_54 B
08_64 B
08_78 B
08_92 B
08_155 B
09_9 B
09_14 B
09_21 B
09_23 B
09_43 B
09_54 B
09_64 B
09_78 B
09_92 C
09_155 B
10_9 B
10_14 B
10_21 B
10_23 B
10_43 B
10_54 B
10_64 B
10_78 B
10_92 B
10_155 C
11_9 C
11_14 A
11_21 B
11_23 B
11_43 A
11_54 B
11_64 B
11_78 B
11_92 B
11_155 B
12_9 B
12_14 B
12_21 B
12_23 B
12_43 B
12_54 B
12_64 B
12_78 C
12_92 B
12_155 B
13_9 B
13_14 B
13_21 B
13_23 B
13_43 B
13_54 B
13_64 B
13_78 B
13_92 B
13_155 B
14_9 C
14_14 B
14_21 B
14_23 B
14_43 B
14_54 B
14_64 C
14_78 B
14_92 C
14_155 B
15_9 B
15_14 B
15_21 B
15_23 B
15_43 B
15_54 B
15_64 B
15_78 B
15_92 B
15_155 B
16_9 A
16_14 A
16_21 A
16_23 A
16_43 B
16_54 B
16_64 B
16_78 B
16_92 B
16_155 B
17_9 C
17_14 B
17_21 B
17_23 B
17_43 C
17_54 C
17_64 B
17_78 B
17_92 B
17_155 B
18_9 A
18_14 A
18_21 A
18_23 A
18_43 A
18_54 A
18_64 A
18_78 A
18_92 A
18_155 A
19_9 B
19_14 B
19_21 C
19_23 B
19_43 B
19_54 C
19_64 C
19_78 C
19_92 B
19_155 B
20_9 B
20_14 B
20_21 B
20_23 B
20_43 B
20_54 B
20_64 B
20_78 B
20_92 B
20_155 B
21_9 B
21_14 B
21_21 B
21_23 B
21_43 B
21_54 B
21_64 B
21_78 C
21_92 C
21_155 B
22_9 B
22_14 B
22_21 B
22_23 B
22_43 B
22_54 B
22_64 B
22_78 B
22_92 B
22_155 B
23_9 B
23_14 A
23_21 A
23_23 C
23_43 A
23_54 C
23_64 A
23_78 A
23_92 A
23_155 A
24_9 A
24_14 B
24_21 B
24_23 B
24_43 C
24_54 B
24_64 B
24_78 B
24_92 C
24_155 B
25_9 C
25_14 A
25_21 A
25_23 A
25_43 C
25_54 A
25_64 A
25_78 A
25_92 A
25_155 A
26_9 C
26_14 C
26_21 B
26_23 C
26_43 C
26_54 C
26_64 C
26_78 B
26_92 C
26_155 B
27_9 B
27_14 B
27_21 B
27_23 B
27_43 B
27_54 B
27_64 B
27_78 B
27_92 B
27_155 C
28_9 B
28_14 C
28_21 B
28_23 B
28_43 B
28_54 C
28_64 B
28_78 C
28_92 C
28_155 C
29_9 C
29_14 B
29_21 B
29_23 B
29_43 B
29_54 B
29_64 B
29_78 B
29_92 B
29_155 B
30_9 A
30_14 A
30_21 A
30_23 A
30_43 B
30_54 B
30_64 B
30_78 B
30_92 B
30_155 B
31_9 B
31_14 B
31_21 B
31_23 B
31_43 B
31_54 B
31_64 B
31_78 B
31_92 B
31_155 B
32_9 B
32_14 B
32_21 C
32_23 C
32_43 B
32_54 B
32_64 B
32_78 B
32_92 B
32_155 B
33_9 B
33_14 B
33_21 B
33_23 B
33_43 B
33_54 B
33_64 B
33_78 C
33_92 C
33_155 B
34_9 B
34_14 B
34_21 B
34_23 B
34_43 A
34_54 B
34_64 B
34_78 B
34_92 B
34_155 B
35_9 B
35_14 C
35_21 B
35_23 B
35_43 B
35_54 B
35_64 C
35_78 B
35_92 B
35_155 B
36_9 B
36_14 B
36_21 B
36_23 B
36_43 B
36_54 B
36_64 B
36_78 B
36_92 A
36_155 B
37_9 B
37_14 B
37_21 C
37_23 B
37_43 B
37_54 B
37_64 B
37_78 B
37_92 B
37_155 B
38_9 B
38_14 B
38_21 B
38_23 B
38_43 B
38_54 B
38_64 B
38_78 B
38_92 C
38_155 B
39_9 C
39_14 B
39_21 B
39_23 B
39_43 B
39_54 B
39_64 B
39_78 B
39_92 B
39_155 B
40_9 C
40_14 C
40_21 A
40_23 B
40_43 B
40_54 B
40_64 C
40_78 C
40_92 A
40_155 C
41_9 C
41_14 A
41_21 A
41_23 A
41_43 A
41_54 A
41_64 B
41_78 B
41_92 B
41_155 B
42_9 B
42_14 B
42_21 B
42_23 B
42_43 B
42_54 B
42_64 B
42_78 B
42_92 B
42_155 B
43_9 B
43_14 B
43_21 B
43_23 B
43_43 B
43_54 B
43_64 C
43_78 B
43_92 B
43_155 B
44_9 B
44_14 B
44_21 B
44_23 B
44_43 B
44_54 B
44_64 B
44_78 B
44_92 B
44_155 B
45_9 B
45_14 B
45_21 B
45_23 B
45_43 C
45_54 B
45_64 B
45_78 B
45_92 B
45_155 B
46_9 B
46_14 B
46_21 B
46_23 B
46_43 B
46_54 B
46_64 B
46_78 B
46_92 C
46_155 B
47_9 A
47_14 C
47_21 A
47_23 A
47_43 A
47_54 A
47_64 A
47_78 A
47_92 A
47_155 A
48_9 B
48_14 C
48_21 A
48_23 B
48_43 A
48_54 A
48_64 A
48_78 A
48_92 A
48_155 A
49_9 A
49_14 B
49_21 C
49_23 B
49_43 A
49_54 B
49_64 A
49_78 A
49_92 A
49_155 A
50_9 B
50_14 B
50_21 B
50_23 B
50_43 B
50_54 B
50_64 B
50_78 C
50_92 B
50_155 B
51_9 B
51_14 B
51_21 B
51_23 B
51_43 B
51_54 B
51_64 B
51_78 B
51_92 B
51_155 B
52_9 A
52_14 A
52_21 A
52_23 A
52_43 A
52_54 A
52_64 A
52_78 A
52_92 A
52_155 A
53_9 B
53_14 B
53_21 B
53_23 B
53_43 C
53_54 C
53_64 B
53_78 B
53_92 B
53_155 C
